optimized_right_x,optimized_right_y,optimized_left_x,optimized_left_y
3.51394,-93.6261,6.0888,-103.805
2.25227,-90.1287,5.73445,-103.895
1.13344,-90.4174,5.50803,-103
-0.0555481,-90.735,4.04835,-101.712
-1.27736,-91.0679,3.95405,-101.346
-2.67344,-91.4523,3.23217,-103.032
-1.98542,-93.9506,3.61222,-104.453
-2.84026,-96.5139,2.03583,-103.224
-3.05416,-95.7394,1.98036,-103.021
-4.1585,-95.8496,0.666593,-103.58
-4.19659,-95.7118,0.692185,-103.673
-6.59953,-92.5382,-0.390004,-105.386
-7.97561,-92.922,-0.347189,-105.541
-9.24699,-93.2615,-1.39853,-105.832
-10.346,-93.4969,-2.80743,-106.223
-10.9019,-93.5236,-4.16099,-106.6
-10.4542,-97.4057,-4.51145,-105.343
-11.6155,-98.949,-6.28199,-104.352
-11.5442,-98.2967,-6.04449,-105.241
-12.5527,-98.1244,-7.95454,-104.336
-12.5091,-97.9809,-9.63017,-104.551
-12.8474,-96.931,-10.429,-104.583
-13.0295,-97.2372,-12.2134,-104.42
-13.0063,-96.0204,-15.1961,-106.825
-12.5239,-95.5089,-17.9134,-105.449
-12.7572,-94.9788,-20.0708,-103.512
-12.9681,-94.4585,-19.9462,-103.379
-13.0746,-93.9494,-19.1696,-99.269
-13.2471,-93.0996,-18.256,-98.6578
-10.3774,-91.5126,-20.2168,-97.9801
-10.6009,-90.2529,-22.2326,-98.9594
-14.6363,-90.969,-23.6858,-97.207
-16.3452,-89.9398,-22.1369,-96.7315
-15.3643,-89.7452,-19.781,-94.5318
-15.9849,-88.6929,-19.3488,-94.4371
-16.0948,-88.717,-19.473,-93.1293
-16.2468,-87.3534,-19.3397,-93.1057
-16.0767,-87.3124,-19.3756,-91.8101
-16.5039,-86.0399,-19.8562,-91.8954
-16.622,-86.0701,-20.397,-90.7438
-16.6171,-84.6816,-20.7752,-90.8188
-16.6797,-84.698,-20.9081,-89.7726
-17.1021,-83.4379,-20.538,-89.6914
-16.9465,-83.3967,-23.8597,-89.192
-17.2028,-82.0778,-25.29,-89.5374
-17.3054,-82.1054,-25.5904,-88.3668
-17.602,-80.9998,-25.9179,-87.1157
-17.6533,-81.0135,-26.25,-85.8636
-17.6767,-79.9485,-26.589,-84.6045
-17.737,-79.965,-26.8878,-83.4903
-18.2553,-79.0088,-27.1489,-82.5343
-18.055,-78.9542,-27.4282,-81.51
-18.2407,-77.9089,-27.7076,-80.4819
-18.1864,-77.8941,-27.9895,-79.4415
-18.4661,-76.8617,-28.2695,-78.4084
-18.517,-76.8755,-28.5499,-77.3752
-18.7057,-75.8155,-28.8648,-76.2133
-18.7881,-75.8378,-29.1454,-75.1778
-19.1565,-74.8265,-29.4326,-74.1151
-19.0852,-74.8072,-29.7153,-73.0702
-19.3081,-73.6227,-29.9081,-71.9761
-19.3564,-73.6358,-30.1949,-70.9349
-19.7256,-72.6257,-28.1103,-70.3609
-19.6934,-72.6169,-26.6184,-68.8244
-20.0699,-71.5845,-27.46,-69.0633
-20.1003,-71.5928,-27.546,-67.775
-20.2946,-70.5214,-27.63,-67.7994
-20.3031,-70.5237,-27.9428,-66.7592
-20.6818,-69.4766,-28.0685,-66.797
-20.6225,-69.4605,-27.5338,-65.4648
-20.9198,-68.381,-26.3127,-65.0925
-21.5344,-68.5502,-27.9413,-64.3704
-22.2863,-67.5947,-31.7954,-65.5522
-22.0428,-67.5256,-32.1344,-64.4488
-22.4859,-66.3068,-32.4848,-63.3111
-22.4942,-66.3092,-32.8291,-62.194
-22.4963,-65.1223,-33.1741,-61.0742
-22.484,-65.1186,-33.665,-59.8138
-22.8169,-64.0267,-31.2046,-59.0596
-22.9032,-64.053,-29.5104,-57.2941
-22.5725,-62.724,-30.3593,-57.5558
-23.5097,-63.0114,-30.6136,-56.4116
-22.6366,-61.5306,-30.693,-56.4362
-19.5389,-60.5789,-31.129,-55.36
-23.0549,-60.4069,-31.0954,-55.3496
-23.0323,-60.3999,-31.3378,-54.2384
-23.6237,-59.3567,-31.2327,-54.2059
-23.4534,-59.3042,-32.0118,-53.2483
-23.6157,-58.13,-31.2308,-53.0064
-23.6784,-58.1493,-33.5517,-52.5388
-24.0698,-56.8725,-35.7083,-53.2068
-24.5717,-57.0264,-36.0893,-51.9771
-25.0533,-55.9202,-36.4166,-50.9233
-24.5621,-55.7688,-36.7376,-49.8923
-24.8182,-54.6209,-33.6605,-48.9343
-25.3445,-54.7835,-33.9864,-47.8893
-26.0693,-53.7946,-37.0631,-48.8487
-26.0301,-53.7824,-37.3853,-47.8176
-26.5649,-52.7612,-37.7081,-46.7857
-26.295,-52.6777,-35.616,-46.131
-26.6341,-51.5827,-33.7963,-44.439
-26.6998,-51.603,-34.3997,-44.628
-27.2054,-50.5729,-34.4392,-43.321
-27.2591,-50.5896,-34.4536,-43.3255
-27.7193,-49.384,-34.6895,-42.2761
-27.8902,-49.437,-34.7854,-42.3062
-27.6422,-48.1976,-35.4607,-41.3964
-26.9623,-47.9864,-35.1809,-41.3095
-27.2851,-46.9495,-34.941,-40.1272
-27.3657,-46.9746,-35.2486,-40.2212
-27.6015,-45.8981,-36.5078,-39.5065
-27.5165,-45.8716,-39.959,-39.1195
-28.3176,-44.9843,-40.3326,-37.8314
-28.5642,-45.0614,-40.6401,-36.7685
-28.4214,-43.8796,-40.9811,-35.5573
-28.2182,-43.816,-41.2918,-34.4331
-28.4508,-42.765,-39.5749,-33.9587
-28.3881,-42.7454,-37.7488,-32.368
-28.766,-41.541,-38.5358,-32.5821
-28.766,-41.541,-38.6206,-31.5092
-29.0869,-40.5182,-37.5334,-31.2167
-29.0869,-40.5182,-39.6041,-30.7254
-29.125,-39.4306,-42.111,-31.3986
-29.1585,-39.441,-42.458,-30.1096
-29.7295,-38.5353,-42.9262,-28.754
-30.0159,-38.6228,-43.2771,-27.4902
-30.3869,-37.6656,-40.6785,-25.4073
-30.3251,-37.6471,-40.365,-25.3106
-27.4424,-35.4211,-40.7206,-24.4198
-26.4369,-35.1241,-40.8708,-24.4781
-26.7906,-33.9041,-41.1814,-23.7749
-27.0953,-32.8509,-40.9327,-23.6395
-27.4081,-31.7383,-41.4647,-23.1763
-27.7011,-30.6777,-41.8266,-23.4602
-31.1003,-31.617,-42.2126,-23.1945
-32.9966,-31.0749,-42.681,-23.8148
-32.0467,-30.8165,-43.004,-24.1878
-32.3167,-29.8129,-42.9955,-24.073
-32.4653,-29.8529,-43.5981,-24.2571
-29.5693,-28.0305,-43.5902,-24.3749
-28.4935,-27.7416,-44.1805,-23.6349
-28.8428,-26.444,-44.1341,-26.8577
-29.2137,-25.0654,-45.0313,-27.1322
-29.594,-23.6936,-46.9039,-24.4732
-30.0718,-22.1351,-47.8792,-24.8519
-33.0774,-23.0623,nan,nan
-35.3265,-22.3267,nan,nan
-36.0636,-22.6127,nan,nan
-36.2652,-21.101,nan,nan
-31.66,-18.5963,nan,nan
-33.0925,-16.6099,nan,nan
-36.7999,-17.1685,nan,nan
-37.425,-17.8644,nan,nan
-38.4893,-16.4793,nan,nan
-37.9202,-15.4148,nan,nan
-40.3278,-15.6471,nan,nan
-42.3547,-15.4117,nan,nan
-44.0985,-16.7919,nan,nan
-44.0382,-17.6913,nan,nan
-45.703,-16.5899,nan,nan
-46.2295,-14.1538,nan,nan
-48.0711,-13.2143,nan,nan
-49.1746,-13.5501,nan,nan
-50.2483,-13.889,nan,nan
-51.8307,-14.4791,nan,nan
-52.1066,-19.1084,nan,nan
-52.043,-19.208,nan,nan
-52.7884,-19.43,nan,nan
